model,epoch,train_loss,test_loss,train_acc,test_acc
1,1,0.4617235359311104,0.09745282900929451,0.8572166666666666,0.9699
1,2,0.14112199357748031,0.06553012421950698,0.9579333333333333,0.9803
1,3,0.10735625539223353,0.05023156464006752,0.96765,0.9838
1,4,0.0928144152512153,0.04286780726709403,0.97215,0.986
1,5,0.08126024312575658,0.03746112834105734,0.9752833333333333,0.9878
1,6,0.07209144984086355,0.03461448771790601,0.97835,0.9883
1,7,0.06697976903518041,0.03234970371900126,0.9792833333333333,0.9899
1,8,0.06159917342265447,0.03327270263866521,0.9814166666666667,0.9893
1,9,0.05760474963883559,0.03083549747085199,0.9824666666666667,0.9899
1,10,0.05502559848725796,0.030858699461340438,0.98325,0.9904
2,1,0.5484148736874263,0.1105752722300589,0.8242333333333334,0.9671
2,2,0.17145073425769805,0.07160539087494835,0.9494666666666667,0.9773
2,3,0.13208147106170653,0.06058506360650063,0.9617333333333333,0.9808
2,4,0.10943669130802154,0.04462398366895504,0.9686333333333333,0.9858
2,5,0.09454421829779942,0.044598187797516585,0.9729166666666667,0.9857
2,6,0.08577404188215733,0.04175904652781319,0.9754166666666667,0.9862
2,7,0.07513315765659015,0.04483060668662656,0.9784166666666667,0.9867
2,8,0.06997614366908868,0.03627102668627631,0.9793,0.9893
2,9,0.06794726998607317,0.03265774675956927,0.9803333333333333,0.9901
2,10,0.06437066876888276,0.031184119945205747,0.9807833333333333,0.9901
3,1,0.6773297081073125,0.14963243163079024,0.7752333333333333,0.9534
3,2,0.21975964505275092,0.09672640015184879,0.9384333333333333,0.9717
3,3,0.16585289135376613,0.07117981014279649,0.9550333333333333,0.9785
3,4,0.13599103464285534,0.06795750932954252,0.9634166666666667,0.9804
3,5,0.12049240725835164,0.052920714744273574,0.9675333333333334,0.9854
3,6,0.10608593015670777,0.051357547129830344,0.9712,0.9855
3,7,0.09930549309452374,0.04626786833028309,0.9734833333333334,0.9871
3,8,0.09165709926386674,0.041925941244419666,0.9751,0.9887
3,9,0.08275968360702196,0.04674232882873039,0.9773166666666666,0.9881
3,10,0.07682165304025014,0.03951798274894245,0.9795166666666667,0.9886
4,1,0.7540604684829711,0.13580640139877795,0.74665,0.963
4,2,0.23421936113039651,0.10084733025403693,0.9390833333333334,0.9708
4,3,0.1741356429775556,0.07188249699724839,0.9561666666666667,0.9806
4,4,0.1503832950234413,0.06184434963688255,0.9628333333333333,0.9834
4,5,0.13127757750749589,0.059409244338492866,0.9677333333333333,0.9854
4,6,0.1200996042172114,0.0568825614024885,0.96995,0.9853
4,7,0.10806923404335976,0.0567480697481893,0.9728833333333333,0.9855
4,8,0.10188283478617668,0.05484306402252987,0.97435,0.9865
4,9,0.09434949612617492,0.04988620717960875,0.9766666666666667,0.9872
4,10,0.09094240987102191,0.04927313610909041,0.9774833333333334,0.9878
5,1,0.8981558545589448,0.1737317568451166,0.6876833333333333,0.9527
5,2,0.2579313715457916,0.1025681639816612,0.9355833333333333,0.9727
5,3,0.18454817651112873,0.08184846216868609,0.95575,0.9789
5,4,0.1480560559272766,0.06462476615738123,0.9641666666666666,0.9836
5,5,0.13108663140535354,0.05583310751318932,0.9687666666666667,0.9849
5,6,0.11765148401459058,0.05121211829781532,0.97305,0.9871
5,7,0.10865742314259211,0.05908990360978059,0.9744666666666667,0.9861
5,8,0.10117351801991463,0.04874234891666565,0.97695,0.9889
5,9,0.0976351618140936,0.044536948770470916,0.9772,0.9889
5,10,0.09275883272687595,0.0419300606360659,0.9781,0.9902
6,1,1.1176658226331075,0.2665785294532776,0.5901,0.9369
6,2,0.34539766430854796,0.15243498632013797,0.9139333333333334,0.9648
6,3,0.24613011960983278,0.11153776494320482,0.9434333333333333,0.9747
6,4,0.20169419362545013,0.09122597581697628,0.9542666666666667,0.9792
6,5,0.17937811420361202,0.07848726397436112,0.9586666666666667,0.9815
6,6,0.16369165519078574,0.072873645577766,0.9634666666666667,0.9833
6,7,0.14648843038876852,0.07069356688940898,0.9668,0.9833
6,8,0.13608793871005376,0.058802696286002175,0.96975,0.9863
6,9,0.13075203045606612,0.057335255298763516,0.97095,0.9871
6,10,0.12425667357444763,0.060321953873569145,0.9726166666666667,0.9865
7,1,1.2883863733609517,0.4227013357162476,0.5170666666666667,0.8503
7,2,0.5038643998940786,0.26646249642372133,0.8235833333333333,0.8756
7,3,0.38426117266019183,0.24696215147972106,0.8539333333333333,0.8814
7,4,0.3454000771045685,0.22080869374275208,0.8644,0.8909
7,5,0.3160708515008291,0.2198310050010681,0.86965,0.8906
7,6,0.30359644339879355,0.21027820427417754,0.87425,0.8936
