model,epoch,train_loss,test_loss,train_acc,test_acc
7,7,0.2877024676799774,0.20228727107048033,0.8768333333333334,0.8962
7,8,0.27247107849915825,0.1997326556444168,0.8812166666666666,0.8897
7,9,0.2646056275208791,0.19037970530986786,0.8818333333333334,0.8932
7,10,0.2573899558067322,0.18655600292682648,0.8809833333333333,0.898
8,1,1.4654162235260009,0.5448241837024689,0.41628333333333334,0.7876
8,2,0.6189980339368184,0.269315037894249,0.7841833333333333,0.9337
8,3,0.4083450739145279,0.15677835311591626,0.8834333333333333,0.9629
8,4,0.31803281571865083,0.12952942194640638,0.9228333333333333,0.9714
8,5,0.2635733150959015,0.10609716529026628,0.9406333333333333,0.9764
8,6,0.2403435281654199,0.09756094936318696,0.9456,0.9778
8,7,0.22979893838564555,0.08904971677400171,0.9492833333333334,0.9789
8,8,0.19996389636993409,0.08715197569355368,0.9561166666666666,0.9788
8,9,0.19286894348462422,0.09628009146526456,0.9574333333333334,0.9748
8,10,0.17861502924760184,0.07609765628967434,0.9599666666666666,0.983
9,1,1.6465842208226522,0.856031171131134,0.3541166666666667,0.7057
9,2,0.8492414065996806,0.42601462991237643,0.6719333333333334,0.9072
9,3,0.5610302476565043,0.21560586290359496,0.8378833333333333,0.9559
9,4,0.40150364329020183,0.15971444414258004,0.90195,0.9688
9,5,0.34420103182792666,0.13889069673717022,0.92145,0.9731
9,6,0.3047725433190664,0.12883717458695174,0.9329333333333333,0.9723
9,7,0.27858821783065796,0.1160965052574873,0.9391166666666667,0.9783
9,8,0.2716269990603129,0.11293512765467167,0.9420166666666666,0.9769
9,9,0.2681969779173533,0.10996617749333382,0.94245,0.978
9,10,0.2428981542110443,0.09699462538659573,0.9475666666666667,0.9816
10,1,1.6749611756006877,0.8587959049224854,0.335,0.7011
10,2,0.857581273651123,0.551685347700119,0.6636166666666666,0.7823
10,3,0.6128042062441508,0.32594253668785095,0.77135,0.9201
10,4,0.4839491060256958,0.19123176308870315,0.84775,0.9639
10,5,0.3865827376683553,0.155188020914793,0.90045,0.9673
10,6,0.3416309527556102,0.14548466179966926,0.9174166666666667,0.97
10,7,0.31403101979891457,0.12838398472517729,0.9257,0.9732
10,8,0.2941991146246592,0.12112468872070313,0.9315,0.9748
10,9,0.25965782100359597,0.1204184351041913,0.9416666666666667,0.9744
10,10,0.24135577014287313,0.12821836180388926,0.9472833333333334,0.9677
